Word                                    Count
--------------------------------------------
a                                       19
an                                      15
the                                     14
you                                     10
dictionary                              10
or                                      10
of                                      9
search                                  8
can                                     8
to                                      7
array                                   7
its                                     6
is                                      5
that                                    5
implement                               5
keys                                    5
sorted                                  4
key                                     4
linked                                  4
use                                     4
entries                                 4
class                                   4
using                                   3
in                                      3
by                                      3
chain                                   3
entry                                   3
for                                     3
and                                     3
implementation                          3
unsorted                                3
require                                 2
larger                                  2
chapter                                 2
library                                 2
does                                    2
operation                               2
either                                  2
whether                                 2
all                                     2
given                                   2
dictionaries                            2
private                                 2
their                                   2
interface                               2
not                                     2
value                                   2
summary                                 2
with                                    2
catalog                                 1
occurs                                  1
when                                    1
these                                   1
iterator                                1
java                                    1
dictionaryinterface                     1
retrieval                               1
english                                 1
estimate                                1
whereas                                 1
because                                 1
if                                      1
they                                    1
order                                   1
addition                                1
similar                                 1
identifies                              1
efficiency                              1
method                                  1
javautiliterator                        1
it                                      1
each                                    1
contains                                1
examples                                1
size                                    1
binary                                  1
detail                                  1
20                                      1
21                                      1
requires                                1
affect                                  1
two                                     1
our                                     1
are                                     1
too                                     1
copy                                    1
map                                     1
situations                              1
contain                                 1
address                                 1
necessary                               1
efficient                               1
getkeyiterator                          1
associated                              1
small                                   1
numbers                                 1
good                                    1
space                                   1
shifting                                1
dictionarys                             1
than                                    1
only                                    1
should                                  1
has                                     1
regardless                              1
realize                                 1
add                                     1
which                                   1
waste                                   1
new                                     1
need                                    1
ultimate                                1
this                                    1
telephone                               1
duplicate                               1
inner                                   1
adt                                     1
traverse                                1
getvalueiterator                        1
parts                                   1
retrieve                                1
allow                                   1
however                                 1
book                                    1
values                                  1
distinct                                1
directory                               1
remove                                  1
operations                              1
common                                  1
organize                                1
define                                  1
on                                      1
allows                                  1
nodes                                   1
neither                                 1
removal                                 1
ones                                    1
